trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.2, 'e': 0.8105842459701871}",20,0,9.773044613085101,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
43,False,"{'a': 0.2, 'e': 0.8065414401773269}",20,0,18.32299440992793,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
44,False,"{'a': 0.2, 'e': 0.8025187979624785}",20,0,-16.79246225506977,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
45,False,"{'a': 0.2, 'e': 0.7985162187593771}",20,0,-34.05745169582879,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
46,False,"{'a': 0.2, 'e': 0.794533602503334}",20,0,9.48165305134801,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
47,False,"{'a': 0.2, 'e': 0.7905708496287356}",30,0,30.00624097102729,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
48,False,"{'a': 0.2, 'e': 0.7866278610665535}",20,0,29.387778579247694,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
49,False,"{'a': 0.2, 'e': 0.7827045382418681}",25,0,7.146196541435417,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
50,False,"{'a': 0.2, 'e': 0.7788007830714049}",20,0,6.278725193855886,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
51,False,"{'a': 0.2, 'e': 0.774916497961081}",20,0,12.862249857874001,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
52,False,"{'a': 0.2, 'e': 0.7710515858035663}",30,0,30.994030417527206,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
53,False,"{'a': 0.2, 'e': 0.7672059499758557}",25,0,-18.732075768460774,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
54,False,"{'a': 0.2, 'e': 0.7633794943368531}",25,0,22.578929378565327,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
55,False,"{'a': 0.2, 'e': 0.7595721232249685}",20,0,29.053565600283857,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
56,False,"{'a': 0.2, 'e': 0.7557837414557255}",20,0,30.840693469161497,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
57,False,"{'a': 0.2, 'e': 0.7520142543193826}",25,0,22.17409540492594,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
58,False,"{'a': 0.2, 'e': 0.7482635675785653}",25,0,27.320973948771215,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
59,False,"{'a': 0.2, 'e': 0.7445315874659094}",20,0,20.081821649370305,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
60,False,"{'a': 0.2, 'e': 0.7408182206817179}",25,0,18.608234691791907,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
61,False,"{'a': 0.2, 'e': 0.7371233743916278}",20,0,24.263672740979672,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
62,False,"{'a': 0.2, 'e': 0.7334469562242892}",20,0,14.282054350120262,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
63,False,"{'a': 0.2, 'e': 0.7297888742690568}",25,0,-12.550536369253782,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
64,False,"{'a': 0.2, 'e': 0.7261490370736909}",20,0,14.877034028762818,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
65,False,"{'a': 0.2, 'e': 0.7225273536420722}",20,0,17.22805027319744,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
66,False,"{'a': 0.2, 'e': 0.7189237334319262}",30,13,24.840505687302496,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.2, 'e': 0.7153380863525599}",30,18,19.17439858714313,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.2, 'e': 0.7117703227626097}",25,0,-20.823877389730708,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
69,False,"{'a': 0.2, 'e': 0.7082203534678}",20,0,10.43734097873951,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
70,False,"{'a': 0.2, 'e': 0.7046880897187134}",25,0,-26.197004249258566,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
71,False,"{'a': 0.2, 'e': 0.7011734432085724}",30,0,28.91753892446484,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
72,False,"{'a': 0.2, 'e': 0.697676326071031}",20,0,22.14158825468805,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
73,False,"{'a': 0.2, 'e': 0.6941966508779789}",20,0,14.214815110519991,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
74,False,"{'a': 0.2, 'e': 0.6907343306373547}",20,0,17.884725640007375,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
75,False,"{'a': 0.2, 'e': 0.6872892787909722}",20,0,-35.00462188259154,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
76,False,"{'a': 0.2, 'e': 0.6838614092123558}",20,0,9.24090697013438,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
77,False,"{'a': 0.2, 'e': 0.6804506362045877}",20,0,-20.359545170635872,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
78,False,"{'a': 0.2, 'e': 0.6770568744981647}",35,0,21.661308589247263,"{0: 34, 1: 0, 2: 0, 3: 1, 4: 0}",0
79,False,"{'a': 0.2, 'e': 0.6736800392488677}",20,0,-20.25079193755248,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
